Название;"Старый URI";"Новый URI";"Ошибка (требует ручной настройки)"
"Превратить обычное освещение в смарт стало возможным";/about/news/prevratit-obychnoe-osveshchenie-v-smart-stalo-vozmozhnym.html;/novosti/prevratit-obychnoe-osveshchenie-v-smart-stalo-vozmozhnym;0
"Придуманы окна, превращающиеся в небольшой «балкон»";/about/news/pridumany-okna-prevrashchayushchiesya-v-nebolshoy-balkon.html;/novosti/pridumany-okna-prevrashchayushchiesya-v-nebolshoy-balkon;0
"Приглашаем на выставку";/about/news/priglashaem-na-vystavku.html;/novosti/priglashaem-na-vystavku;0
"Прозрачный бетон стал реальностью";/about/news/prozrachnyy-beton-stal-realnostyu.html;/novosti/prozrachnyy-beton-stal-realnostyu;0
"Ремонт и дизайн в элитных квартирах: 10 тезисов";/about/news/remont-i-dizayn-v-elitnykh-kvartirakh-10-tezisov.html;/novosti/remont-i-dizayn-v-elitnykh-kvartirakh-10-tezisov;0
"Ремонт и дизайн в элитных квартирах: 10 тезисов. Часть 2";/about/news/remont-i-dizayn-v-elitnykh-kvartirakh-10-tezisov-chast-2.html;/novosti/remont-i-dizayn-v-elitnykh-kvartirakh-10-tezisov-chast-2;0
"Ремонт и дизайн в элитных квартирах: 10 тезисов. Часть 3";/about/news/remont-i-dizayn-v-elitnykh-kvartirakh-10-tezisov-chast-3.html;/novosti/remont-i-dizayn-v-elitnykh-kvartirakh-10-tezisov-chast-3;0
"С Днём Защитника Отечества!";/about/news/s-dnyem-zashchitnika-otechestva.html;/novosti/s-dnyem-zashchitnika-otechestva;0
"Совмещая приятное с полезным";/about/news/sovmeshchaya-priyatnoe-s-poleznym.html;/novosti/sovmeshchaya-priyatnoe-s-poleznym;0
"Стеклянные конструкции от компании ERGOHAUS";/about/news/steklyannye-konstruktsii-ot-kompanii-ergohaus.html;/novosti/steklyannye-konstruktsii-ot-kompanii-ergohaus;0
"Свежие идеи для домашнего очага";/about/news/svezhie-idei-dlya-domashnego-ochaga.html;/novosti/svezhie-idei-dlya-domashnego-ochaga;0
"Техномассив - новинка напольного покрытия";/about/news/tekhnomassiv-novinka-napolnogo-pokrytiya.html;/novosti/tekhnomassiv-novinka-napolnogo-pokrytiya;0
"Теплый потолок – теплый дом";/about/news/teplyy-potolok-teplyy-dom.html;/novosti/teplyy-potolok-teplyy-dom;0
"Термопанели Фрайд";/about/news/termopaneli-frayd.html;/novosti/termopaneli-frayd;0
"Трансформирующаяся мебель";/about/news/transformiruyushchayasya-mebel.html;/novosti/transformiruyushchayasya-mebel;0
"Тренд сезона: включатели и розетки из натурального дерева";/about/news/trend-sezona-vklyuchateli-i-rozetki-iz-naturalnogo-dereva.html;/novosti/trend-sezona-vklyuchateli-i-rozetki-iz-naturalnogo-dereva;0
"Уборка квартир и домов после ремонта";/about/news/uborka-kvartir-i-domov-posle-remonta.html;/novosti/uborka-kvartir-i-domov-posle-remonta;0
"Умная и красивая звукоизоляция для стен - ""кожа дракона""";/about/news/umnaya-i-krasivaya-zvukoizolyatsiya-dlya-sten-kozha-drakona.html;/novosti/umnaya-i-krasivaya-zvukoizolyatsiya-dlya-sten-kozha-drakona;0
"""Умное"" затемняемое стекло стало реальностью";/about/news/umnoe-zatemnyaemoe-steklo-stalo-realnostyu.html;/novosti/umnoe-zatemnyaemoe-steklo-stalo-realnostyu;0
"Умные жалюзи сэкономят 350$ за год";/about/news/umnye-zhalyuzi-sekonomyat-350-za-god.html;/novosti/umnye-zhalyuzi-sekonomyat-350-za-god;0
"«Умные жалюзи» снизят энергопотребление дома";/about/news/umnye-zhalyuzi-snizyat-energopotreblenie-doma.html;/novosti/umnye-zhalyuzi-snizyat-energopotreblenie-doma;0
"Жидкое дерево - новый уникальный строительный материал!";/about/news/zhidkoe-derevo-novyy-unikalnyy-stroitelnyy-material.html;/novosti/zhidkoe-derevo-novyy-unikalnyy-stroitelnyy-material;0
"Живая 3D-плитка - новинка напольного покрытия";/about/news/zhivaya-3d-plitka-novinka-napolnogo-pokrytiya.html;/novosti/zhivaya-3d-plitka-novinka-napolnogo-pokrytiya;0
